Date & Time,Vehicle Type,Card Name,Price
2026-01-29 16:00:13,Car,Black,15000
2026-01-29 16:00:32,Car,Gold,15000
2026-01-29 16:00:42,Car,Gold,6000
2026-01-29 16:00:55,Car,Platinum,9000
2026-01-29 16:01:11,Car,Gold,9000
2026-01-29 16:01:24,Car,Black,21000
2026-01-29 16:01:44,Car,Gold,9000
2026-01-29 16:01:59,Car,Black,21000
2026-01-29 16:02:12,Car,Gold,15000
2026-01-29 16:02:23,Truck,Black,6000
2026-01-29 16:02:42,Car,Black,15000
2026-01-29 16:02:57,Car,Platinum,9000
2026-01-29 16:03:08,Car,Platinum,21000
2026-01-29 16:03:27,Truck,Black,6000
2026-01-29 16:03:45,Bus,Gold,6000
2026-01-29 16:03:57,Car,Gold,21000
2026-01-29 16:04:16,Car,Gold,21000
2026-01-29 16:04:31,Car,Gold,9000
2026-01-29 16:04:44,Car,Black,9000
2026-01-29 16:05:00,Car,Black,9000
2026-01-29 16:05:19,Truck,Black,21000
2026-01-29 16:05:37,Car,Platinum,6000
2026-01-29 16:05:52,Car,Black,6000
2026-01-29 16:06:06,Car,Black,9000
2026-01-29 16:06:23,Truck,Platinum,21000
2026-01-29 16:06:39,Car,Black,21000
2026-01-29 16:06:51,Car,Platinum,6000
2026-01-29 16:07:02,Car,Gold,6000
2026-01-29 16:07:14,Car,Platinum,9000
2026-01-29 16:07:26,Car,Gold,9000
2026-01-29 16:07:44,Car,Gold,15000
2026-01-29 16:07:55,Car,Black,6000
2026-01-29 16:08:09,Car,Black,21000
2026-01-29 16:08:22,Car,Black,9000
2026-01-29 16:08:37,Car,Black,15000
2026-01-29 16:08:52,Car,Black,9000
2026-01-29 16:09:02,Car,Black,21000
2026-01-29 16:09:21,Car,Black,15000
2026-01-29 16:09:36,Car,Platinum,15000
2026-01-29 16:09:52,Car,Black,21000
2026-01-29 16:10:02,Bus,Black,21000
2026-01-29 16:10:12,Truck,Gold,9000
2026-01-29 16:10:32,Car,Gold,6000
2026-01-29 16:10:44,Car,Gold,6000
2026-01-29 16:11:01,Truck,Gold,21000
2026-01-29 16:11:15,Car,Black,9000
2026-01-29 16:11:28,Car,Gold,6000
2026-01-29 16:11:38,Car,Platinum,9000
2026-01-29 16:11:50,Car,Platinum,15000
2026-01-29 16:12:10,Car,Platinum,15000
2026-01-29 16:12:23,Car,Gold,9000
2026-01-29 16:12:40,Truck,Black,15000
2026-01-29 16:12:55,Car,Platinum,6000
2026-01-29 16:13:09,Car,Black,6000
2026-01-29 16:13:23,Car,Platinum,15000
2026-01-29 16:13:35,Car,Black,9000
2026-01-29 16:13:48,Car,Black,9000
2026-01-29 16:14:02,Truck,Gold,15000
2026-01-29 16:14:20,Car,Black,9000
2026-01-29 16:14:32,Car,Black,6000
2026-01-29 16:14:46,Car,Gold,9000
2026-01-29 16:14:56,Bus,Platinum,21000
2026-01-29 16:15:14,Truck,Platinum,15000
2026-01-29 16:15:26,Car,Gold,21000
2026-01-29 16:15:46,Bus,Platinum,15000
2026-01-29 16:16:00,Truck,Black,15000
2026-01-29 16:16:19,Car,Black,21000
2026-01-29 16:16:36,Car,Gold,9000
2026-01-29 16:16:52,Car,Gold,6000
2026-01-29 16:17:12,Car,Gold,6000
2026-01-29 16:17:25,Car,Platinum,6000
2026-01-29 16:17:40,Bus,Black,21000
2026-01-29 16:17:50,Car,Platinum,15000
2026-01-29 16:18:01,Car,Black,21000
2026-01-29 16:18:21,Car,Platinum,6000
2026-01-29 16:18:36,Car,Black,9000
2026-01-29 16:18:50,Car,Gold,15000
2026-01-29 16:19:04,Car,Gold,15000
2026-01-29 16:19:20,Car,Gold,21000
2026-01-29 16:19:39,Car,Gold,9000
2026-01-29 16:19:59,Truck,Black,15000
2026-01-29 16:20:17,Truck,Black,9000
2026-01-29 16:20:35,Car,Gold,21000
2026-01-29 16:20:52,Car,Platinum,9000
2026-01-29 16:21:11,Bus,Gold,15000
2026-01-29 16:21:24,Car,Black,9000
2026-01-29 16:21:39,Car,Gold,6000
2026-01-29 16:21:57,Car,Black,9000
2026-01-29 16:22:07,Car,Black,9000
2026-01-29 16:22:17,Car,Black,15000
2026-01-29 16:22:36,Truck,Platinum,21000
2026-01-29 16:22:47,Car,Platinum,9000
2026-01-29 16:23:02,Car,Gold,15000
2026-01-29 16:23:14,Truck,Black,21000
2026-01-29 16:23:27,Car,Platinum,9000
2026-01-29 16:23:40,Truck,Platinum,6000
2026-01-29 16:23:57,Truck,Black,15000
2026-01-29 16:24:14,Car,Platinum,15000
2026-01-29 16:24:31,Car,Black,15000
2026-01-29 16:24:45,Truck,Black,9000
2026-01-29 16:25:05,Car,Gold,6000
2026-01-29 16:25:20,Bus,Platinum,21000
2026-01-29 16:25:36,Car,Gold,9000
2026-01-29 16:25:53,Car,Gold,21000
2026-01-29 16:26:04,Car,Black,9000
2026-01-29 16:26:19,Car,Gold,6000
2026-01-29 16:26:39,Car,Black,15000
2026-01-29 16:26:54,Bus,Gold,6000
2026-01-29 16:27:13,Car,Black,15000
2026-01-29 16:27:28,Car,Platinum,21000
2026-01-29 16:27:48,Truck,Platinum,15000
2026-01-29 16:28:06,Car,Platinum,9000
2026-01-29 16:28:23,Car,Platinum,15000
2026-01-29 16:28:37,Car,Gold,15000
2026-01-29 16:28:56,Car,Platinum,15000
2026-01-29 16:29:12,Car,Black,15000
2026-01-29 16:29:28,Bus,Platinum,6000
2026-01-29 16:29:48,Car,Black,21000
2026-01-29 16:30:06,Bus,Black,15000
2026-01-29 16:30:23,Truck,Black,6000
2026-01-29 16:30:36,Car,Gold,6000
2026-01-29 16:30:46,Bus,Platinum,9000
2026-01-29 16:31:06,Car,Platinum,9000
2026-01-29 16:31:19,Car,Gold,6000
2026-01-29 16:31:34,Car,Gold,21000
2026-01-29 16:31:50,Car,Black,15000
2026-01-29 16:32:00,Car,Gold,15000
2026-01-29 16:32:13,Bus,Gold,6000
2026-01-29 16:32:29,Car,Platinum,9000
2026-01-29 16:32:45,Car,Platinum,21000
2026-01-29 16:33:01,Car,Platinum,15000
2026-01-29 16:33:11,Car,Gold,9000
2026-01-29 16:33:31,Car,Black,9000
2026-01-29 16:33:45,Bus,Gold,6000
2026-01-29 16:34:05,Car,Platinum,15000
2026-01-29 16:34:23,Car,Platinum,21000
2026-01-29 16:34:41,Car,Platinum,21000
2026-01-29 16:34:57,Bus,Black,21000
2026-01-29 16:35:11,Car,Black,6000
2026-01-29 16:35:28,Car,Gold,6000
2026-01-29 16:35:44,Car,Black,15000
2026-01-29 16:35:57,Car,Gold,15000
2026-01-29 16:36:16,Car,Gold,6000
2026-01-29 16:36:35,Car,Platinum,21000
2026-01-29 16:36:48,Car,Platinum,21000
2026-01-29 16:37:00,Car,Black,9000
2026-01-29 16:37:17,Car,Platinum,21000
2026-01-29 16:37:34,Car,Black,15000
2026-01-29 16:37:45,Car,Gold,21000
2026-01-29 16:38:02,Car,Black,21000
2026-01-29 16:38:18,Car,Platinum,6000
2026-01-29 16:38:28,Car,Platinum,15000
2026-01-29 16:38:41,Car,Gold,6000
2026-01-29 16:38:54,Car,Platinum,15000
2026-01-29 16:39:14,Car,Platinum,21000
2026-01-29 16:39:33,Car,Platinum,21000
2026-01-29 16:39:47,Car,Gold,6000
2026-01-29 16:40:01,Car,Black,9000
2026-01-29 16:40:21,Car,Black,9000
2026-01-29 16:40:38,Car,Platinum,6000
2026-01-29 16:40:50,Truck,Black,6000
2026-01-29 16:41:05,Car,Black,15000
2026-01-29 16:41:20,Bus,Gold,15000
2026-01-29 16:41:30,Car,Gold,21000
