timestamp,location_name,speed_kmh
2026-01-26 23:44:42,Terminal Cikarang,45
2026-01-26 23:44:42,Sentra Grosir Cikarang,33
2026-01-26 23:44:42,Stasiun Cikarang,28
2026-01-26 23:44:42,Lippo Mall Cikarang,29
2026-01-26 23:44:42,President University,33
2026-01-26 23:45:14,Terminal Cikarang,45
2026-01-26 23:45:14,Sentra Grosir Cikarang,33
2026-01-26 23:45:14,Stasiun Cikarang,28
2026-01-26 23:45:14,Lippo Mall Cikarang,29
2026-01-26 23:45:14,President University,33
2026-01-26 23:46:20,Terminal Cikarang,45
2026-01-26 23:46:20,Sentra Grosir Cikarang,33
2026-01-26 23:46:20,Stasiun Cikarang,28
2026-01-26 23:46:20,Lippo Mall Cikarang,29
2026-01-26 23:46:20,President University,33
2026-01-27 13:37:37,Terminal Cikarang,33
2026-01-27 13:37:37,Sentra Grosir Cikarang,20
2026-01-27 13:37:37,Stasiun Cikarang,21
2026-01-27 13:37:37,Lippo Mall Cikarang,21
2026-01-27 13:37:37,President University,25
2026-01-27 13:38:46,Terminal Cikarang,34
2026-01-27 13:38:46,Sentra Grosir Cikarang,21
2026-01-27 13:38:46,Stasiun Cikarang,22
2026-01-27 13:38:46,Lippo Mall Cikarang,21
2026-01-27 13:38:46,President University,24
2026-01-27 13:39:54,Terminal Cikarang,34
2026-01-27 13:39:54,Sentra Grosir Cikarang,21
2026-01-27 13:39:54,Stasiun Cikarang,22
2026-01-27 13:39:54,Lippo Mall Cikarang,20
2026-01-27 13:39:54,President University,24
2026-01-27 13:40:59,Terminal Cikarang,34
2026-01-27 13:40:59,Sentra Grosir Cikarang,20
2026-01-27 13:40:59,Stasiun Cikarang,22
2026-01-27 13:40:59,Lippo Mall Cikarang,19
2026-01-27 13:40:59,President University,25
2026-01-27 13:42:05,Terminal Cikarang,34
2026-01-27 13:42:05,Sentra Grosir Cikarang,20
2026-01-27 13:42:05,Stasiun Cikarang,22
2026-01-27 13:42:05,Lippo Mall Cikarang,19
2026-01-27 13:42:05,President University,25
2026-01-27 13:43:10,Terminal Cikarang,33
2026-01-27 13:43:10,Sentra Grosir Cikarang,20
2026-01-27 13:43:10,Stasiun Cikarang,19
2026-01-27 13:43:10,Lippo Mall Cikarang,22
2026-01-27 13:43:10,President University,25
2026-01-27 13:44:15,Terminal Cikarang,33
2026-01-27 13:44:15,Sentra Grosir Cikarang,20
2026-01-27 13:44:15,Stasiun Cikarang,19
2026-01-27 13:44:15,Lippo Mall Cikarang,22
2026-01-27 13:44:15,President University,25
2026-01-27 13:45:20,Terminal Cikarang,33
2026-01-27 13:45:20,Sentra Grosir Cikarang,21
2026-01-27 13:45:20,Stasiun Cikarang,19
2026-01-27 13:45:20,Lippo Mall Cikarang,22
2026-01-27 13:45:20,President University,25
2026-01-27 13:46:25,Terminal Cikarang,34
2026-01-27 13:46:25,Sentra Grosir Cikarang,22
2026-01-27 13:46:25,Stasiun Cikarang,19
2026-01-27 13:46:25,Lippo Mall Cikarang,22
2026-01-27 13:46:25,President University,26
2026-01-27 13:47:31,Terminal Cikarang,34
2026-01-27 13:47:31,Sentra Grosir Cikarang,22
2026-01-27 13:47:31,Stasiun Cikarang,19
2026-01-27 13:47:31,Lippo Mall Cikarang,21
2026-01-27 13:47:31,President University,25
2026-01-27 13:48:36,Terminal Cikarang,34
2026-01-27 13:48:36,Sentra Grosir Cikarang,22
2026-01-27 13:48:36,Stasiun Cikarang,19
2026-01-27 13:48:36,Lippo Mall Cikarang,21
2026-01-27 13:48:36,President University,25
2026-01-27 13:49:42,Terminal Cikarang,34
2026-01-27 13:49:42,Sentra Grosir Cikarang,20
2026-01-27 13:49:42,Stasiun Cikarang,19
2026-01-27 13:49:42,Lippo Mall Cikarang,22
2026-01-27 13:49:42,President University,25
2026-01-27 13:50:47,Terminal Cikarang,34
2026-01-27 13:50:47,Sentra Grosir Cikarang,21
2026-01-27 13:50:47,Stasiun Cikarang,19
