nama_lokasi,waktu,suhu_c,kode_cuaca,kecepatan_angin_kmh,arah_angin
Lippo Mall Cikarang,2026-01-27T00:00,29.1,3,5.7,126
Lippo Mall Cikarang,2026-01-27T14:00,28.0,3,6.8,32
Lippo Mall Cikarang,2026-01-27T15:00,29.5,3,5.4,48
Lippo Mall Cikarang,2026-01-27T16:00,29.2,3,9.5,297
Lippo Mall Cikarang,2026-01-27T17:00,29.9,3,3.9,88
Lippo Mall Cikarang,2026-01-27T18:00,31.5,3,8.8,52
Lippo Mall Cikarang,2026-01-27T19:00,30.7,80,7.9,25
Lippo Mall Cikarang,2026-01-27T20:00,28.1,80,3.6,353
Lippo Mall Cikarang,2026-01-27T21:00,28.6,3,3.6,60
Lippo Mall Cikarang,2026-01-27T22:00,26.5,80,2.1,345
Lippo Mall Cikarang,2026-01-27T23:00,28.1,80,6.5,83
Lippo Mall Cikarang,2026-01-28T00:00,28.3,3,2.6,197
Lippo Mall Cikarang,2026-01-28T01:00,31.2,3,3.9,52
Lippo Mall Cikarang,2026-01-29T04:00,29.5,3,3.2,233
Lippo Mall Cikarang,2026-01-29T05:00,29.7,3,9.6,322
Lippo Mall Cikarang,2026-01-29T06:00,27.2,3,9.0,127
Lippo Mall Cikarang,2026-01-29T07:00,30.8,3,3.4,14
Lippo Mall Cikarang,2026-01-29T08:00,26.0,63,4.8,312
Lippo Mall Cikarang,2026-01-29T09:00,31.4,3,7.3,349
Lippo Mall Cikarang,2026-02-01T09:00,27.6,3,4.6,173
Lippo Mall Cikarang,2026-02-01T10:00,26.8,3,9.0,150
Lippo Mall Cikarang,2026-02-01T11:00,30.1,3,3.8,203
Lippo Mall Cikarang,2026-02-01T15:00,28.4,3,9.6,289
Lippo Mall Cikarang,2026-02-02T02:00,25.7,3,9.7,282
President University,2026-01-27T00:00,24.5,3,4.6,229
President University,2026-01-27T14:00,26.8,3,5.9,229
President University,2026-01-27T15:00,24.0,3,7.8,0
President University,2026-01-27T16:00,31.2,3,5.3,343
President University,2026-01-27T17:00,29.3,80,7.5,305
President University,2026-01-27T18:00,26.5,3,7.1,183
President University,2026-01-27T19:00,24.1,3,7.7,277
President University,2026-01-27T20:00,24.0,3,6.2,19
President University,2026-01-27T21:00,25.7,3,5.7,149
